stage,phase,epoch,step,loss,steps_per_sec,lr
step1,train,0,1,1.0037546157836914,0.0624,0.00010000
step1,train,0,2,1.00999116897583,6.7397,0.00010000
step1,train,0,3,0.9942800998687744,5.5573,0.00010000
step1,train,0,4,0.999822735786438,4.3463,0.00010000
step1,train,0,5,0.9957363605499268,4.1558,0.00010000
step1,train,0,6,1.0054991245269775,4.1482,0.00010000
step1,train,0,7,1.0002015829086304,4.3991,0.00010000
step1,train,0,8,1.0110162496566772,5.2291,0.00010000
step1,train,0,9,1.0047650337219238,4.6728,0.00010000
step1,train,0,10,0.9950806498527527,0.4280,0.00010000
step1,train,0,11,0.9963783621788025,0.5351,0.00010000
step1,train,0,12,0.9974579811096191,7.4964,0.00010000
step1,train,0,13,1.003914475440979,7.8738,0.00010000
step1,train,0,14,0.9897960424423218,3.2927,0.00010000
step1,train,0,15,0.9993048310279846,4.4368,0.00010000
step1,train,0,16,0.994115948677063,4.5585,0.00010000
step1,train,0,17,0.994538426399231,3.9288,0.00010000
step1,train,0,18,1.0074704885482788,5.5741,0.00010000
step1,train,0,19,1.0144712924957275,1.3103,0.00010000
step1,train,0,20,0.9903311729431152,3.5250,0.00010000
step1,train,0,21,1.0106337070465088,4.3898,0.00010000
step1,train,0,22,1.0164586305618286,4.3401,0.00010000
step1,train,0,23,0.9896515607833862,1.0369,0.00010000
step1,train,0,24,0.9973215460777283,4.1940,0.00010000
step1,train,0,25,0.9864073395729065,5.3470,0.00010000
step1,train,0,26,1.0007935762405396,7.9797,0.00010000
step1,train,0,27,0.990846574306488,0.6079,0.00010000
step1,train,0,28,1.00344717502594,5.9482,0.00010000
step1,train,0,29,0.9953135848045349,5.6455,0.00010000
step1,train,0,30,0.9978993535041809,5.3414,0.00010000
step1,train,0,31,1.023993968963623,7.7068,0.00010000
step1,train,0,32,1.0066434144973755,5.4372,0.00010000
step1,train,0,33,1.000917673110962,5.3105,0.00010000
step1,train,0,34,1.0052109956741333,5.4206,0.00010000
step1,train,0,35,0.9922158122062683,6.6636,0.00010000
step1,train,0,36,0.9991515874862671,2.3674,0.00010000
step1,train,0,37,1.006335735321045,6.1084,0.00010000
step1,train,0,38,0.9950730800628662,10.3076,0.00010000
step1,train,0,39,0.9992995858192444,7.4822,0.00010000
step1,train,0,40,1.0028916597366333,0.6228,0.00010000
step1,train,0,41,0.9956883192062378,7.5436,0.00010000
step1,train,0,42,1.0243452787399292,8.3594,0.00010000
step1,train,0,43,0.9961181879043579,7.1594,0.00010000
step1,train,0,44,1.0208343267440796,8.3005,0.00010000
step1,train,0,45,0.9918811321258545,7.5127,0.00010000
step1,train,0,46,1.0054794549942017,7.4705,0.00010000
step1,train,0,47,0.9957141280174255,7.5864,0.00010000
step1,train,0,48,0.9885733723640442,6.0886,0.00010000
step1,train,0,49,0.99627685546875,5.2926,0.00010000
step1,train,0,50,1.0007407665252686,5.5722,0.00010000
step1,train,0,51,1.0006868839263916,6.8702,0.00010000
step1,train,0,52,1.0016233921051025,4.3819,0.00010000
step1,train,0,53,1.002605676651001,9.4219,0.00010000
step1,train,0,54,1.0177773237228394,4.3982,0.00010000
step1,train,0,55,0.9930210113525391,6.2664,0.00010000
step1,train,0,56,0.9937607645988464,6.7255,0.00010000
step1,train,0,57,0.9930803775787354,5.2628,0.00010000
step1,train,0,58,0.9964721202850342,5.2596,0.00010000
step1,train,0,59,0.9889292120933533,8.3185,0.00010000
step1,train,0,60,0.9946643114089966,6.3113,0.00010000
step1,train,0,61,0.9984310865402222,8.7950,0.00010000
step1,train,0,62,1.0020201206207275,2.1851,0.00010000
step1,train,0,63,1.0026918649673462,5.9163,0.00010000
step1,train,0,64,1.0008699893951416,5.6920,0.00010000
step1,train,0,65,0.9867792129516602,5.6712,0.00010000
step1,train,0,66,1.0068155527114868,4.5317,0.00010000
step1,train,0,67,1.0097026824951172,7.6056,0.00010000
step1,train,0,68,1.005052924156189,6.2843,0.00010000
step1,train,0,69,1.0088438987731934,6.4627,0.00010000
step1,train,0,70,1.0015125274658203,7.5754,0.00010000
step1,train,0,71,1.0097692012786865,7.6064,0.00010000
step1,train,0,72,0.9857954978942871,7.5893,0.00010000
step1,train,0,73,1.0000790357589722,7.8545,0.00010000
step1,train,0,74,1.0081889629364014,7.5830,0.00010000
step1,train,0,75,1.0181390047073364,7.5824,0.00010000
step1,train,0,76,0.9906399846076965,7.6122,0.00010000
step1,train,0,77,0.9930302500724792,7.6567,0.00010000
step1,train,0,78,0.9962537884712219,7.5803,0.00010000
step1,train,0,79,0.99943608045578,7.6059,0.00010000
step1,train,0,80,0.9917420148849487,7.6535,0.00010000
step1,train,0,81,0.9992480874061584,7.2990,0.00010000
step1,train,0,82,1.0065213441848755,7.5351,0.00010000
step1,train,0,83,1.0039540529251099,7.5907,0.00010000
